"DateTime","Daily new cases","7MA"
"2020-08-01 00:00:00",367,512.4285714285714
"2020-08-02 00:00:00",788,535.1428571428571
"2020-08-03 00:00:00",427,508.7142857142857
"2020-08-04 00:00:00",435,499
"2020-08-05 00:00:00",580,516.7142857142857
"2020-08-06 00:00:00",653,540
"2020-08-07 00:00:00",1011,608.7142857142857
"2020-08-08 00:00:00",721,659.2857142857143
"2020-08-09 00:00:00",484,615.8571428571429
"2020-08-10 00:00:00",586,638.5714285714286
"2020-08-11 00:00:00",636,667.2857142857143
"2020-08-12 00:00:00",549,662.8571428571429
"2020-08-13 00:00:00",1072,722.7142857142857
"2020-08-14 00:00:00",802,692.8571428571429
"2020-08-15 00:00:00",806,705
"2020-08-16 00:00:00",728,739.8571428571429
"2020-08-17 00:00:00",619,744.5714285714286
"2020-08-18 00:00:00",559,733.5714285714286
"2020-08-19 00:00:00",766,764.5714285714286
"2020-08-20 00:00:00",666,706.5714285714286
"2020-08-21 00:00:00",1059,743.2857142857143
"2020-08-22 00:00:00",950,763.8571428571429
"2020-08-23 00:00:00",736,765
"2020-08-24 00:00:00",643,768.4285714285714
"2020-08-25 00:00:00",842,808.8571428571429
"2020-08-26 00:00:00",1002,842.5714285714286
"2020-08-27 00:00:00",985,888.1428571428571
"2020-08-28 00:00:00",1193,907.2857142857143
"2020-08-29 00:00:00",1214,945
"2020-08-30 00:00:00",0,839.8571428571429
"2020-08-31 00:00:00",1588,974.8571428571429
"2020-09-01 00:00:00",897,982.7142857142857
"2020-09-02 00:00:00",1121,999.7142857142857
"2020-09-03 00:00:00",1153,1023.7142857142857
"2020-09-04 00:00:00",1222,1027.857142857143
"2020-09-05 00:00:00",1240,1031.5714285714287
"2020-09-06 00:00:00",0,1031.5714285714287
"2020-09-07 00:00:00",1860,1070.4285714285713
"2020-09-08 00:00:00",1117,1101.857142857143
"2020-09-09 00:00:00",1327,1131.2857142857142
"2020-09-10 00:00:00",1325,1155.857142857143
"2020-09-11 00:00:00",1420,1184.142857142857
"2020-09-12 00:00:00",1485,1219.142857142857
"2020-09-13 00:00:00",0,1219.142857142857
"2020-09-14 00:00:00",1907,1225.857142857143
"2020-09-15 00:00:00",776,1177.142857142857
"2020-09-16 00:00:00",1379,1184.5714285714287
"2020-09-17 00:00:00",1302,1181.2857142857142
"2020-09-18 00:00:00",1556,1200.7142857142858
"2020-09-19 00:00:00",1338,1179.7142857142858
"2020-09-20 00:00:00",0,1179.7142857142858
"2020-09-21 00:00:00",1890,1177.2857142857142
"2020-09-22 00:00:00",1087,1221.7142857142858
"2020-09-23 00:00:00",1370,1220.4285714285713
"2020-09-24 00:00:00",1400,1234.4285714285713
"2020-09-25 00:00:00",1357,1206
"2020-09-26 00:00:00",1233,1191
"2020-09-27 00:00:00",0,1191
"2020-09-28 00:00:00",1665,1158.857142857143
"2020-09-29 00:00:00",890,1130.7142857142858
"2020-09-30 00:00:00",1156,1100.142857142857
"2020-10-01 00:00:00",1068,1052.7142857142858
"2020-10-02 00:00:00",1001,1001.8571428571429
"2020-10-03 00:00:00",1353,1019
"2020-10-04 00:00:00",0,1019
"2020-10-05 00:00:00",1947,1059.2857142857142
"2020-10-06 00:00:00",1013,1076.857142857143
"2020-10-07 00:00:00",1355,1105.2857142857142
"2020-10-08 00:00:00",1331,1142.857142857143
"2020-10-09 00:00:00",1225,1174.857142857143
"2020-10-10 00:00:00",1386,1179.5714285714287
"2020-10-11 00:00:00",0,1179.5714285714287
"2020-10-12 00:00:00",1784,1156.2857142857142
"2020-10-13 00:00:00",1015,1156.5714285714287
"2020-10-14 00:00:00",1542,1183.2857142857142
"2020-10-15 00:00:00",1372,1189.142857142857
"2020-10-16 00:00:00",1196,1185
"2020-10-17 00:00:00",1166,1153.5714285714287
"2020-10-18 00:00:00",0,1153.5714285714287
"2020-10-19 00:00:00",1561,1121.7142857142858
"2020-10-20 00:00:00",847,1097.7142857142858
"2020-10-21 00:00:00",1503,1092.142857142857
"2020-10-22 00:00:00",1191,1066.2857142857142
"2020-10-23 00:00:00",1210,1068.2857142857142
"2020-10-24 00:00:00",1262,1082
"2020-10-25 00:00:00",0,1082
"2020-10-26 00:00:00",1372,1055
"2020-10-27 00:00:00",862,1057.142857142857
"2020-10-28 00:00:00",1231,1018.2857142857143
"2020-10-29 00:00:00",1017,993.4285714285714
"2020-10-30 00:00:00",1296,1005.7142857142857
"2020-10-31 00:00:00",1105,983.2857142857143
"2020-11-01 00:00:00",0,983.2857142857143
"2020-11-02 00:00:00",1286,971
"2020-11-03 00:00:00",863,971.1428571428571
"2020-11-04 00:00:00",1141,958.2857142857143
"2020-11-05 00:00:00",1106,971
"2020-11-06 00:00:00",1050,935.8571428571429
"2020-11-07 00:00:00",946,913.1428571428571
"2020-11-08 00:00:00",0,913.1428571428571
"2020-11-09 00:00:00",1224,904.2857142857143
"2020-11-10 00:00:00",979,920.8571428571429
"2020-11-11 00:00:00",1202,929.5714285714286
"2020-11-12 00:00:00",1171,938.8571428571429
"2020-11-13 00:00:00",1184,958
"2020-11-14 00:00:00",1100,980
"2020-11-15 00:00:00",0,980
"2020-11-16 00:00:00",1369,1000.7142857142857
"2020-11-17 00:00:00",998,1003.4285714285714
"2020-11-18 00:00:00",1422,1034.857142857143
"2020-11-19 00:00:00",1219,1041.7142857142858
"2020-11-20 00:00:00",1187,1042.142857142857
"2020-11-21 00:00:00",0,885
"2020-11-22 00:00:00",0,885
"2020-11-23 00:00:00",2877,1100.4285714285713
"2020-11-24 00:00:00",895,1085.7142857142858
"2020-11-25 00:00:00",1330,1072.5714285714287
"2020-11-26 00:00:00",1222,1073
"2020-11-27 00:00:00",1351,1096.4285714285713
"2020-11-28 00:00:00",0,1096.4285714285713
"2020-11-29 00:00:00",0,1096.4285714285713
"2020-11-30 00:00:00",2545,1049
"2020-12-01 00:00:00",534,997.4285714285714
"2020-12-02 00:00:00",1168,974.2857142857143
"2020-12-03 00:00:00",1165,966.1428571428571
"2020-12-04 00:00:00",1180,941.7142857142857
"2020-12-05 00:00:00",0,941.7142857142857
"2020-12-06 00:00:00",0,941.7142857142857
"2020-12-07 00:00:00",2736,969
"2020-12-08 00:00:00",1009,1036.857142857143
"2020-12-09 00:00:00",1258,1049.7142857142858
"2020-12-10 00:00:00",1127,1044.2857142857142
"2020-12-11 00:00:00",1132,1037.4285714285713
"2020-12-12 00:00:00",0,1037.4285714285713
"2020-12-13 00:00:00",0,1037.4285714285713
"2020-12-14 00:00:00",2222,964
"2020-12-15 00:00:00",927,952.2857142857143
"2020-12-16 00:00:00",1167,939.2857142857143
"2020-12-17 00:00:00",1125,939
"2020-12-18 00:00:00",1084,932.1428571428571
"2020-12-19 00:00:00",0,932.1428571428571
"2020-12-20 00:00:00",0,932.1428571428571
"2020-12-21 00:00:00",2421,960.5714285714286
"2020-12-22 00:00:00",911,958.2857142857143
"2020-12-23 00:00:00",1138,954.1428571428571
"2020-12-24 00:00:00",1048,943.1428571428571
"2020-12-25 00:00:00",0,788.2857142857143
"2020-12-26 00:00:00",0,788.2857142857143
"2020-12-27 00:00:00",0,788.2857142857143
"2020-12-28 00:00:00",2772,838.4285714285714
"2020-12-29 00:00:00",1037,856.4285714285714
"2020-12-30 00:00:00",1315,881.7142857142857
"2020-12-31 00:00:00",1207,904.4285714285714
"2021-01-01 00:00:00",0,904.4285714285714
"2021-01-02 00:00:00",0,904.4285714285714
"2021-01-03 00:00:00",0,904.4285714285714
"2021-01-04 00:00:00",3115,953.4285714285714
"2021-01-05 00:00:00",1155,970.2857142857143
"2021-01-06 00:00:00",1447,989.1428571428571
"2021-01-07 00:00:00",1369,1012.2857142857143
"2021-01-08 00:00:00",1207,1184.7142857142858
"2021-01-09 00:00:00",0,1184.7142857142858
"2021-01-10 00:00:00",0,1184.7142857142858
"2021-01-11 00:00:00",2447,1089.2857142857142
"2021-01-12 00:00:00",1032,1071.7142857142858
"2021-01-13 00:00:00",1063,1016.8571428571429
"2021-01-14 00:00:00",1086,976.4285714285714
"2021-01-15 00:00:00",945,939
"2021-01-16 00:00:00",0,939
"2021-01-17 00:00:00",0,939
"2021-01-18 00:00:00",1829,850.7142857142857
"2021-01-19 00:00:00",861,826.2857142857143
"2021-01-20 00:00:00",835,793.7142857142857
"2021-01-21 00:00:00",765,747.8571428571429
"2021-01-22 00:00:00",831,731.5714285714286
"2021-01-23 00:00:00",0,731.5714285714286
"2021-01-24 00:00:00",0,731.5714285714286
"2021-01-25 00:00:00",1437,675.5714285714286
"2021-01-26 00:00:00",600,638.2857142857143
"2021-01-27 00:00:00",721,622
"2021-01-28 00:00:00",571,594.2857142857143
"2021-01-29 00:00:00",639,566.8571428571429
"2021-01-30 00:00:00",0,566.8571428571429
"2021-01-31 00:00:00",0,566.8571428571429
"2021-02-01 00:00:00",1293,546.2857142857143
"2021-02-02 00:00:00",440,523.4285714285714
"2021-02-03 00:00:00",528,495.85714285714283
"2021-02-04 00:00:00",455,479.2857142857143
"2021-02-05 00:00:00",446,451.7142857142857
"2021-02-06 00:00:00",0,451.7142857142857
"2021-02-07 00:00:00",0,451.7142857142857
"2021-02-08 00:00:00",997,409.42857142857144
"2021-02-09 00:00:00",417,406.14285714285717
"2021-02-10 00:00:00",486,400.14285714285717
"2021-02-11 00:00:00",418,394.85714285714283
"2021-02-12 00:00:00",431,392.7142857142857
"2021-02-13 00:00:00",0,392.7142857142857
"2021-02-14 00:00:00",0,392.7142857142857
"2021-02-15 00:00:00",837,369.85714285714283
"2021-02-16 00:00:00",430,371.7142857142857
"2021-02-17 00:00:00",434,364.2857142857143
"2021-02-18 00:00:00",353,355
"2021-02-19 00:00:00",437,355.85714285714283
"2021-02-20 00:00:00",0,355.85714285714283
"2021-02-21 00:00:00",0,355.85714285714283
"2021-02-22 00:00:00",996,378.57142857142856
"2021-02-23 00:00:00",423,377.57142857142856
"2021-02-24 00:00:00",399,372.57142857142856
"2021-02-25 00:00:00",418,381.85714285714283
"2021-02-26 00:00:00",427,380.42857142857144
"2021-02-27 00:00:00",0,380.42857142857144
"2021-02-28 00:00:00",0,380.42857142857144
"2021-03-01 00:00:00",745,344.57142857142856
"2021-03-02 00:00:00",428,345.2857142857143
"2021-03-03 00:00:00",376,342
"2021-03-04 00:00:00",403,339.85714285714283
"2021-03-05 00:00:00",347,328.42857142857144
"2021-03-06 00:00:00",0,328.42857142857144
"2021-03-07 00:00:00",0,328.42857142857144
"2021-03-08 00:00:00",0,222
"2021-03-09 00:00:00",1192,331.14285714285717
"2021-03-10 00:00:00",0,277.42857142857144
"2021-03-11 00:00:00",0,219.85714285714286
"2021-03-12 00:00:00",1261,350.42857142857144
"2021-03-13 00:00:00",0,350.42857142857144
"2021-03-14 00:00:00",0,350.42857142857144
"2021-03-15 00:00:00",0,350.42857142857144
"2021-03-16 00:00:00",1354,373.57142857142856
"2021-03-17 00:00:00",0,373.57142857142856
"2021-03-18 00:00:00",0,373.57142857142856
"2021-03-19 00:00:00",1456,401.42857142857144
"2021-03-20 00:00:00",0,401.42857142857144
"2021-03-21 00:00:00",0,401.42857142857144
"2021-03-22 00:00:00",0,401.42857142857144
"2021-03-23 00:00:00",1535,427.2857142857143
"2021-03-24 00:00:00",0,427.2857142857143
"2021-03-25 00:00:00",0,427.2857142857143
"2021-03-26 00:00:00",1740,467.85714285714283
"2021-03-27 00:00:00",0,467.85714285714283
"2021-03-28 00:00:00",0,467.85714285714283
"2021-03-29 00:00:00",0,467.85714285714283
"2021-03-30 00:00:00",1586,475.14285714285717
"2021-03-31 00:00:00",0,475.14285714285717
"2021-04-01 00:00:00",0,475.14285714285717
"2021-04-02 00:00:00",0,226.57142857142858
"2021-04-03 00:00:00",0,226.57142857142858
"2021-04-04 00:00:00",0,226.57142857142858
"2021-04-05 00:00:00",0,226.57142857142858
"2021-04-06 00:00:00",3082,440.2857142857143
"2021-04-07 00:00:00",0,440.2857142857143
"2021-04-08 00:00:00",0,440.2857142857143
"2021-04-09 00:00:00",2698,825.7142857142857
"2021-04-10 00:00:00",0,825.7142857142857
"2021-04-11 00:00:00",0,825.7142857142857
"2021-04-12 00:00:00",0,825.7142857142857
"2021-04-13 00:00:00",2799,785.2857142857143
"2021-04-14 00:00:00",0,785.2857142857143
"2021-04-15 00:00:00",2190,1098.142857142857
"2021-04-16 00:00:00",1044,861.8571428571429
"2021-04-17 00:00:00",0,861.8571428571429
"2021-04-18 00:00:00",0,861.8571428571429
"2021-04-19 00:00:00",2260,1184.7142857142858
"2021-04-20 00:00:00",1130,946.2857142857143
"2021-04-21 00:00:00",1531,1165
"2021-04-22 00:00:00",1776,1105.857142857143
"2021-04-23 00:00:00",1656,1193.2857142857142
"2021-04-24 00:00:00",1830,1454.7142857142858
"2021-04-25 00:00:00",0,1454.7142857142858
"2021-04-26 00:00:00",2480,1486.142857142857
"2021-04-27 00:00:00",1927,1600
"2021-04-28 00:00:00",2434,1729
"2021-04-29 00:00:00",2781,1872.5714285714287
"2021-04-30 00:00:00",2609,2008.7142857142858
"2021-05-01 00:00:00",0,1747.2857142857142
"2021-05-02 00:00:00",0,1747.2857142857142
"2021-05-03 00:00:00",5685,2205.1428571428573
"2021-05-04 00:00:00",1304,2116.1428571428573
"2021-05-05 00:00:00",2555,2133.4285714285716
"2021-05-06 00:00:00",2559,2101.714285714286
"2021-05-07 00:00:00",2392,2070.714285714286
"2021-05-08 00:00:00",0,2070.714285714286
"2021-05-09 00:00:00",0,2070.714285714286
"2021-05-10 00:00:00",5992,2114.5714285714284
"2021-05-11 00:00:00",2236,2247.714285714286
"2021-05-12 00:00:00",3173,2336
"2021-05-13 00:00:00",3039,2404.5714285714284