Month_3,Year,Month,Employed,Unemployed
JAS,2010,8,1881514,177415
ASO,2010,9,1885131,168331
SON,2010,10,1889385,184939
OND,2010,11,1886234,191421
NDE,2010,12,1855054,204405
DEF,2011,1,1827828,195242
EFM,2011,2,1802040,195965
FMA,2011,3,1782283,190877
MAM,2011,4,1778413,189849
AMJ,2011,5,1765039,195336
MJJ,2011,6,1782039,198330
JJA,2011,7,1804224,214918
JAS,2011,8,1836662,225383
ASO,2011,9,1845132,228117
SON,2011,10,1885418,217712
OND,2011,11,1918109,224828
NDE,2011,12,1955977,230993
DEF,2012,1,1969322,235706
EFM,2012,2,1994448,235443
FMA,2012,3,1994679,226601
MAM,2012,4,1981222,221198
AMJ,2012,5,1968585,225626
MJJ,2012,6,1983878,228491
JJA,2012,7,1995861,235279
JAS,2012,8,1998224,221942
ASO,2012,9,2000292,214426
SON,2012,10,1996786,209990
OND,2012,11,1994166,217865
NDE,2012,12,1992657,221655
DEF,2013,1,1987735,218966
EFM,2013,2,1980685,213633
FMA,2013,3,1989311,214325
MAM,2013,4,1994618,226398
AMJ,2013,5,2008405,236728
MJJ,2013,6,2006475,226658
JJA,2013,7,2012186,211754
JAS,2013,8,2026738,199312
ASO,2013,9,2048596,202789
SON,2013,10,2067991,206196
OND,2013,11,2088282,189295
NDE,2013,12,2088414,202931
DEF,2014,1,2089521,219150
EFM,2014,2,2084210,225903
FMA,2014,3,2074437,210975
MAM,2014,4,2052417,197783
AMJ,2014,5,2048011,204463
MJJ,2014,6,2061294,216277
JJA,2014,7,2075424,223087
JAS,2014,8,2065801,228403
ASO,2014,9,2046070,227859
SON,2014,10,2049721,221035
OND,2014,11,2059600,220175
NDE,2014,12,2053890,228660
DEF,2015,1,2046975,235400
EFM,2015,2,2051208,231674
FMA,2015,3,2069436,224466
MAM,2015,4,2091580,223682
AMJ,2015,5,2087363,217933
MJJ,2015,6,2080850,208335
JJA,2015,7,2071085,205814
JAS,2015,8,2063117,210200
ASO,2015,9,2045036,219035
SON,2015,10,2031601,219629
OND,2015,11,2027518,215401
NDE,2015,12,2026194,212485
DEF,2016,1,2005425,212773
EFM,2016,2,1992741,209216
FMA,2016,3,1976926,207102
MAM,2016,4,1956429,207809
AMJ,2016,5,1954756,202563
MJJ,2016,6,1958684,201157
JJA,2016,7,1971892,198831
JAS,2016,8,1972128,212323
ASO,2016,9,2001689,207140
SON,2016,10,2043116,215733
OND,2016,11,2063366,217623
NDE,2016,12,2061080,214728
DEF,2017,1,2064921,213937
EFM,2017,2,2060757,207047
FMA,2017,3,2085474,207334
MAM,2017,4,2076422,193146
AMJ,2017,5,2079840,193126
MJJ,2017,6,2063270,195204
JJA,2017,7,2068371,211266
JAS,2017,8,2068710,213816
ASO,2017,9,2032621,232155
SON,2017,10,2007298,214698
OND,2017,11,1995640,204452
NDE,2017,12,1964213,195250
DEF,2018,1,1984890,206532
EFM,2018,2,2004711,229082
FMA,2018,3,2079893,223211
MAM,2018,4,2114874,216268
AMJ,2018,5,2160036,205141
MJJ,2018,6,2179068,209160
JJA,2018,7,2165902,223015
JAS,2018,8,2138140,242228
ASO,2018,9,2148045,251222
SON,2018,10,2136183,284081
OND,2018,11,2165323,293914
NDE,2018,12,2173646,307567
DEF,2019,1,2181714,289211
EFM,2019,2,2171766,276279
FMA,2019,3,2178238,277375
MAM,2019,4,2179447,277946
AMJ,2019,5,2183195,295580
MJJ,2019,6,2198172,286729
JJA,2019,7,2187121,279748
JAS,2019,8,2162613,278108
ASO,2019,9,2141710,298008
SON,2019,10,2164796,310192
OND,2019,11,2182818,309465
NDE,2019,12,2204704,309174
DEF,2020,1,2227240,309770
EFM,2020,2,2208175,314153
FMA,2020,3,2040406,379063
MAM,2020,4,1860633,468000
AMJ,2020,5,1745257,551373
MJJ,2020,6,1723012,557126
JJA,2020,7,1804361,544091
JAS,2020,8,1846109,520237
ASO,2020,9,1877828,526138
SON,2020,10,1906286,516542